"Category";"Power";"Target range (low)";"Target range (high)";"Losses";"POA irradiation (satellite)"
"01";331.174;361.037;441.267;29.863;4224.118
"02";320.366;363.556;444.346;43.19;4262.526
"03";410.45;339.21;414.59;0;3993.035
"04";308.702;433.139;529.392;124.437;5188.116
"05";256.779;348.814;426.329;92.036;4082.473
"06";431.885;408.074;498.757;0;4953.716
"07";323.75;373.759;456.816;50.009;4482.227
"08";341.379;391.867;478.949;50.488;4788.927
"09";180.518;127.679;156.052;0;1662.955
"10";218.392;169.74;207.46;0;2101.424
"11";251.727;192.918;235.788;0;2352.406
"12";283.288;228.518;279.299;0;2760.993
"13";233.031;195.743;239.241;0;2437.598
"14";362.066;332.754;406.699;0;4740.641
"15";250.414;241.356;294.991;0;3108.387
"16";281.785;247.203;302.136;0;3283.295
"17";200.032;171.74;209.905;0;2124.727
"18";226.795;211.142;258.063;0;2664.518
"19";269.531;275.798;337.087;6.267;3468.681
"20";242.111;298.036;364.266;55.925;3778.798
"21";370.985;305.279;373.119;0;3819.825
"22";336.251;413.8;505.755;77.548;5344.607
"23";328.332;317.121;387.593;0;4034.865
"24";327.698;279.878;342.073;0;3546.418
"25";308.762;425.332;519.85;116.57;5474.125
"26";421.801;336.265;410.991;0;5443.603
"27";365.295;303.738;371.235;0;4675.113
"28";396.553;309.993;378.88;0;4837.568
"29";155.223;119.711;146.314;0;1516.58
"30";192.133;164.296;200.806;0;2107.89
"31";247.357;;;0;
