period_end,air_temp,dhi,dni,ghi,wind_speed,period
2025-12-01 01:00:00+00:00,21.64,,,,0.46,PT60M
2025-12-01 02:00:00+00:00,21.29,,,,0.42,PT60M
2025-12-01 03:00:00+00:00,21.23,,,,0.46,PT60M
2025-12-01 04:00:00+00:00,21.16,,,,0.47,PT60M
2025-12-01 05:00:00+00:00,20.95,,,,0.46,PT60M
2025-12-01 06:00:00+00:00,20.78,,,,0.49,PT60M
2025-12-01 07:00:00+00:00,21.1,,,,0.4,PT60M
2025-12-01 08:00:00+00:00,22.64,,,,0.58,PT60M
2025-12-01 09:00:00+00:00,24.89,,,,0.76,PT60M
2025-12-01 10:00:00+00:00,26.57,,,,0.91,PT60M
2025-12-01 11:00:00+00:00,27.6,,,,0.97,PT60M
2025-12-01 12:00:00+00:00,28.3,,,,1.01,PT60M
2025-12-01 13:00:00+00:00,28.62,,,,0.97,PT60M
2025-12-01 14:00:00+00:00,28.72,,,,0.89,PT60M
2025-12-01 15:00:00+00:00,28.43,,,,0.71,PT60M
2025-12-01 16:00:00+00:00,27.9,,,,0.55,PT60M
2025-12-01 17:00:00+00:00,27.08,,,,0.34,PT60M
2025-12-01 18:00:00+00:00,25.98,,,,0.29,PT60M
2025-12-01 19:00:00+00:00,25.27,,,,0.46,PT60M
2025-12-01 20:00:00+00:00,24.75,,,,0.5,PT60M
2025-12-01 21:00:00+00:00,24.17,,,,0.51,PT60M
2025-12-01 22:00:00+00:00,23.69,,,,0.51,PT60M
2025-12-01 23:00:00+00:00,23.27,,,,0.52,PT60M
2025-12-02 00:00:00+00:00,22.76,,,,0.48,PT60M
2025-12-02 01:00:00+00:00,22.23,,,,0.36,PT60M
2025-12-02 02:00:00+00:00,22.28,,,,0.45,PT60M
2025-12-02 03:00:00+00:00,22.52,,,,0.62,PT60M
2025-12-02 04:00:00+00:00,22.43,,,,0.58,PT60M
2025-12-02 05:00:00+00:00,22.29,,,,0.63,PT60M
2025-12-02 06:00:00+00:00,22.18,,,,0.68,PT60M
2025-12-02 07:00:00+00:00,22.32,,,,0.71,PT60M
2025-12-02 08:00:00+00:00,23.49,,,,0.72,PT60M
2025-12-02 09:00:00+00:00,25.48,,,,0.87,PT60M
2025-12-02 10:00:00+00:00,26.96,,,,0.88,PT60M
2025-12-02 11:00:00+00:00,27.99,,,,0.82,PT60M
2025-12-02 12:00:00+00:00,28.63,,,,0.74,PT60M
2025-12-02 13:00:00+00:00,28.88,,,,0.66,PT60M
2025-12-02 14:00:00+00:00,28.71,,,,0.6,PT60M
2025-12-02 15:00:00+00:00,28.01,,,,0.51,PT60M
2025-12-02 16:00:00+00:00,27.21,,,,0.43,PT60M
2025-12-02 17:00:00+00:00,26.43,,,,0.36,PT60M
2025-12-02 18:00:00+00:00,25.65,,,,0.17,PT60M
2025-12-02 19:00:00+00:00,25.29,,,,0.05,PT60M
2025-12-02 20:00:00+00:00,24.88,,,,0.15,PT60M
2025-12-02 21:00:00+00:00,24.45,,,,0.29,PT60M
2025-12-02 22:00:00+00:00,24.1,,,,0.36,PT60M
2025-12-02 23:00:00+00:00,23.85,,,,0.42,PT60M
2025-12-03 00:00:00+00:00,23.49,,,,0.42,PT60M
2025-12-03 01:00:00+00:00,23.08,,,,0.36,PT60M
2025-12-03 02:00:00+00:00,22.78,,,,0.31,PT60M
2025-12-03 03:00:00+00:00,22.6,,,,0.31,PT60M
2025-12-03 04:00:00+00:00,22.43,,,,0.3,PT60M
2025-12-03 05:00:00+00:00,22.62,,,,0.38,PT60M
2025-12-03 06:00:00+00:00,22.95,,,,0.5,PT60M
2025-12-03 07:00:00+00:00,23.24,,,,0.38,PT60M
2025-12-03 08:00:00+00:00,24.09,,,,0.46,PT60M
2025-12-03 09:00:00+00:00,25.9,,,,0.56,PT60M
2025-12-03 10:00:00+00:00,27.29,,,,0.59,PT60M
2025-12-03 11:00:00+00:00,28.17,,,,0.58,PT60M
2025-12-03 12:00:00+00:00,28.74,,,,0.52,PT60M
2025-12-03 13:00:00+00:00,28.75,,,,0.34,PT60M
2025-12-03 14:00:00+00:00,28.42,,,,0.15,PT60M
2025-12-03 15:00:00+00:00,27.97,,,,0.2,PT60M
2025-12-03 16:00:00+00:00,27.08,,,,0.38,PT60M
2025-12-03 17:00:00+00:00,26.19,,,,0.35,PT60M
2025-12-03 18:00:00+00:00,25.44,,,,0.26,PT60M
2025-12-03 19:00:00+00:00,24.78,,,,0.21,PT60M
2025-12-03 20:00:00+00:00,24.51,,,,0.3,PT60M
2025-12-03 21:00:00+00:00,24.32,,,,0.45,PT60M
2025-12-03 22:00:00+00:00,24.16,,,,0.45,PT60M
2025-12-03 23:00:00+00:00,23.98,,,,0.47,PT60M
2025-12-04 00:00:00+00:00,23.86,,,,0.49,PT60M
2025-12-04 01:00:00+00:00,23.78,,,,0.51,PT60M
2025-12-04 02:00:00+00:00,23.65,,,,0.51,PT60M
2025-12-04 03:00:00+00:00,23.42,,,,0.51,PT60M
2025-12-04 04:00:00+00:00,23.2,,,,0.5,PT60M
2025-12-04 05:00:00+00:00,23.08,,,,0.49,PT60M
2025-12-04 06:00:00+00:00,23.02,,,,0.46,PT60M
2025-12-04 07:00:00+00:00,23.24,,,,0.33,PT60M
2025-12-04 08:00:00+00:00,24.27,,,,0.46,PT60M
2025-12-04 09:00:00+00:00,26.16,,,,0.76,PT60M
2025-12-04 10:00:00+00:00,27.4,,,,0.86,PT60M
2025-12-04 11:00:00+00:00,28.21,,,,0.89,PT60M
2025-12-04 12:00:00+00:00,28.7,,,,0.92,PT60M
2025-12-04 13:00:00+00:00,28.91,,,,0.9,PT60M
